"Creator","Piece Title","Year","Date","Date Published","Event Name","Format/Genre","Venue","City","State/Province","Country","Notes","Tags","Display Record","Display Video","Video URL","Text/Event URL","Language","License","Date Accessed"
"John Paetsch & Danny Snelson","""Landlord""","2013","February 21, 2013","","Show-and-Share series","performance","Moore College of Art & Design","Philadelphia","PA","United States","","business, collaboration","TRUE","TRUE","https://www.youtube.com/watch?v=2RHtTdTlH4M","http://moore.edu/the-galleries-at-moore/calendar/show-and-share-emmanuelle-delpech-john-paetsch-danny-snelson-aj-rombach","English","",""
"Holly Melgard","""Narsolicitation""","2010","","December 13, 2010","","poetry","","","","","","","TRUE","TRUE","https://www.youtube.com/watch?v=DWV0HTBmv0U","","English","",""
"J. Gordon Faylor","","2016","July 31, 2016","","Island of Stars series","lecture","Hayes Valley Art Works","San Francisco","CA","United States","Gordon Faylor speaks about a deadly amusement park. This talk is part of a series called Island of Stars held on July 31, 2016 at Hayes Valley Artworks in San Francisco.","","TRUE","TRUE","https://www.youtube.com/watch?v=CrkXg-7ZqXg","","English","",""
"Cecilia Corrigan","""Cecilia Corrigan's Secret Garden""","2015","April 27, 2015","","","performance, comedy","Whynot Jazz Room","New York","NY","United States","NYPAC New York Performance Artists Collective","","TRUE","TRUE","https://www.youtube.com/watch?v=-iAa49apFPw","","English","",""
"Felix Bernstein","""Felix Bernstein as Leopold Brant""","2014","January 10, 2014","","The Poetry Project","performance","St. Mark's Church","New York","NY","United States","With an introduction by Matt Longabucco","","TRUE","TRUE","https://www.youtube.com/watch?v=hazyssm47W4","","English","",""
"J. Gordon Faylor","Complete Reading","2014","","December 17, 2014","Insert Blanc Press, Gauss PDF & Phoneme Media","poetry","Open Press 2014","Los Angeles","CA","United States","","","TRUE","TRUE","https://www.youtube.com/watch?v=lbukFgdo-EI","http://www.insertblancpress.net/blogs/general-projects/15216993-open-press","English","",""
"Astrid Lorange","Reading Excerpt","2010","December 11, 2010","December 17, 2010","Whenever We Feel Like It","poetry","José Pistola","Philadelphia","PA","United States","Recorded by J. Gordon Faylor","","TRUE","TRUE","https://www.youtube.com/watch?v=MxXv-cQudlo","http://writing.upenn.edu/pennsound/x/Whenever-We-Feel-Like-It.php#12-11-10","English","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
